"obs","paper_id","paper_obs_count","i_report","la","la_type","la_aggmean","la_indmean","la_indmedian","both_stats","se","se_imp","se_type","se_calc","se_calc_method","main_citation","main_title","main_lastnames","main_firstnames","main_yearpub","main_published","main_journal","main_affliations","pub_econtopfive","pub_regular","pub_unpub","pub_type_1","pub_type_2","journal_if","journal_if_std","data_type","type_lab_exp","type_field_exp","type_class_exp","type_online_exp","type_gameshow","type_field_other","location","loc_lab","loc_field","loc_online","loc_class","subject","subject_children","subject_uni","subject_elderly","subject_gen","subject_farmer","subject_mixed","subject_unknown","subject_monkey","reward","reward_type","reward_real","reward_money","reward_food","reward_cons_good","reward_env_good","reward_health","reward_other","reward_mixed","method","method_question","method_seqbin","method_mpl","method_matching","method_bdm","method_gp","method_other","method_other_type","computer","spec_u","spec_u_fine","spec_u_est","spec_u_crra","spec_u_crra_eq","spec_u_crra_noneq","spec_u_cara","spec_u_linear","spec_u_other","spec_nonparametric","spec_rp","spec_rp_statusquo","spec_rp_expectation","spec_rp_zero","spec_rp_other","la_def","loss_tversky_kahneman","loss_koebberling_wakker","loss_neilson","loss_wakker_tversky","loss_bowman","loss_koszegi_rabin","loss_other","loc_country","loc_state","loc_city","continent","continent_africa","continent_europe","continent_s_america","continent_asia","continent_oceania","continent_n_america","continent_multiple","journal_category","journal_cat_1","journal_cat_2","cat_econ","cat_psych","cat_neuro","cat_agri","cat_medical","cat_mgt","cat_transport","cat_multi"
119,25,15,101,1.333,"Aggregate",1,0,0,0,0.1,0.1,"SE reported",0,NA,"Kliger and Levy (2009)","Theories of Choice under Risk: Insights from Financial Markets","Kliger; Levy","Doron;  Ori",2009,1,"Journal of Economic Behavior & Organization","University of Haifa; Coral Capital Management",0,1,0,"Published","Published",1.404,-0.330455263285976,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Other","Non-money","Hypothetical",0,0,0,0,0,1,0,"Other",0,0,0,0,0,0,1,"Financial market data",0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
120,25,16,102,1.091,"Aggregate",1,0,0,0,0.049,0.049,"SE reported",0,NA,"Kliger and Levy (2009)","Theories of Choice under Risk: Insights from Financial Markets","Kliger; Levy","Doron;  Ori",2009,1,"Journal of Economic Behavior & Organization","University of Haifa; Coral Capital Management",0,1,0,"Published","Published",1.404,-0.330455263285976,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Other","Non-money","Hypothetical",0,0,0,0,0,1,0,"Other",0,0,0,0,0,0,1,"Financial market data",0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
121,25,17,103,1.378,"Aggregate",1,0,0,0,0.116,0.116,"SE reported",0,NA,"Kliger and Levy (2009)","Theories of Choice under Risk: Insights from Financial Markets","Kliger; Levy","Doron;  Ori",2009,1,"Journal of Economic Behavior & Organization","University of Haifa; Coral Capital Management",0,1,0,"Published","Published",1.404,-0.330455263285976,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Other","Non-money","Hypothetical",0,0,0,0,0,1,0,"Other",0,0,0,0,0,0,1,"Financial market data",0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
122,25,18,104,1.154,"Aggregate",1,0,0,0,0.059,0.059,"SE reported",0,NA,"Kliger and Levy (2009)","Theories of Choice under Risk: Insights from Financial Markets","Kliger; Levy","Doron;  Ori",2009,1,"Journal of Economic Behavior & Organization","University of Haifa; Coral Capital Management",0,1,0,"Published","Published",1.404,-0.330455263285976,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Other","Non-money","Hypothetical",0,0,0,0,0,1,0,"Other",0,0,0,0,0,0,1,"Financial market data",0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
123,25,19,105,1.442,"Aggregate",1,0,0,0,0.068,0.068,"SE reported",0,NA,"Kliger and Levy (2009)","Theories of Choice under Risk: Insights from Financial Markets","Kliger; Levy","Doron;  Ori",2009,1,"Journal of Economic Behavior & Organization","University of Haifa; Coral Capital Management",0,1,0,"Published","Published",1.404,-0.330455263285976,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Other","Non-money","Hypothetical",0,0,0,0,0,1,0,"Other",0,0,0,0,0,0,1,"Financial market data",0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
124,25,20,106,1.209,"Aggregate",1,0,0,0,0.036,0.036,"SE reported",0,NA,"Kliger and Levy (2009)","Theories of Choice under Risk: Insights from Financial Markets","Kliger; Levy","Doron;  Ori",2009,1,"Journal of Economic Behavior & Organization","University of Haifa; Coral Capital Management",0,1,0,"Published","Published",1.404,-0.330455263285976,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Other","Non-money","Hypothetical",0,0,0,0,0,1,0,"Other",0,0,0,0,0,0,1,"Financial market data",0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
125,25,21,107,1.575,"Aggregate",1,0,0,0,0.097,0.097,"SE reported",0,NA,"Kliger and Levy (2009)","Theories of Choice under Risk: Insights from Financial Markets","Kliger; Levy","Doron;  Ori",2009,1,"Journal of Economic Behavior & Organization","University of Haifa; Coral Capital Management",0,1,0,"Published","Published",1.404,-0.330455263285976,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Other","Non-money","Hypothetical",0,0,0,0,0,1,0,"Other",0,0,0,0,0,0,1,"Financial market data",0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
126,25,22,108,1.213,"Aggregate",1,0,0,0,0.038,0.038,"SE reported",0,NA,"Kliger and Levy (2009)","Theories of Choice under Risk: Insights from Financial Markets","Kliger; Levy","Doron;  Ori",2009,1,"Journal of Economic Behavior & Organization","University of Haifa; Coral Capital Management",0,1,0,"Published","Published",1.404,-0.330455263285976,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Other","Non-money","Hypothetical",0,0,0,0,0,1,0,"Other",0,0,0,0,0,0,1,"Financial market data",0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
127,25,23,109,1.591,"Aggregate",1,0,0,0,0.112,0.112,"SE reported",0,NA,"Kliger and Levy (2009)","Theories of Choice under Risk: Insights from Financial Markets","Kliger; Levy","Doron;  Ori",2009,1,"Journal of Economic Behavior & Organization","University of Haifa; Coral Capital Management",0,1,0,"Published","Published",1.404,-0.330455263285976,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Other","Non-money","Hypothetical",0,0,0,0,0,1,0,"Other",0,0,0,0,0,0,1,"Financial market data",0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
128,25,24,110,1.21,"Aggregate",1,0,0,0,0.04,0.04,"SE reported",0,NA,"Kliger and Levy (2009)","Theories of Choice under Risk: Insights from Financial Markets","Kliger; Levy","Doron;  Ori",2009,1,"Journal of Economic Behavior & Organization","University of Haifa; Coral Capital Management",0,1,0,"Published","Published",1.404,-0.330455263285976,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Other","Non-money","Hypothetical",0,0,0,0,0,1,0,"Other",0,0,0,0,0,0,1,"Financial market data",0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
129,25,25,111,1.274,"Aggregate",1,0,0,0,0.054,0.054,"SE reported",0,NA,"Kliger and Levy (2009)","Theories of Choice under Risk: Insights from Financial Markets","Kliger; Levy","Doron;  Ori",2009,1,"Journal of Economic Behavior & Organization","University of Haifa; Coral Capital Management",0,1,0,"Published","Published",1.404,-0.330455263285976,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Other","Non-money","Hypothetical",0,0,0,0,0,1,0,"Other",0,0,0,0,0,0,1,"Financial market data",0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
130,25,26,112,1.113,"Aggregate",1,0,0,0,0.033,0.033,"SE reported",0,NA,"Kliger and Levy (2009)","Theories of Choice under Risk: Insights from Financial Markets","Kliger; Levy","Doron;  Ori",2009,1,"Journal of Economic Behavior & Organization","University of Haifa; Coral Capital Management",0,1,0,"Published","Published",1.404,-0.330455263285976,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Other","Non-money","Hypothetical",0,0,0,0,0,1,0,"Other",0,0,0,0,0,0,1,"Financial market data",0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
131,26,1,113,2.5,"Ind. mean",0,1,0,1,0.203,0.203,"SE reported",0,NA,"Schunk (2009)","Behavioral Heterogeneity in Dynamic Search Situations: Theory and Experimental Evidence","Schunk","Daniel",2009,1,"Journal of Economic Dynamics and Control","University of Zurich",0,1,0,"Published","Published",1.502,-0.31409634610537,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - R","Real",1,0,0,0,0,0,0,"MPL",0,0,1,0,0,0,0,NA,1,"Linear","Linear",0,0,0,0,0,1,0,0,"Zero",0,0,1,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"Germany",NA,"Mannheim","Europe",0,1,0,0,0,0,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
132,26,2,113,1.6,"Ind. median",0,0,1,1,0.203,0.203,"SE reported",0,NA,"Schunk (2009)","Behavioral Heterogeneity in Dynamic Search Situations: Theory and Experimental Evidence","Schunk","Daniel",2009,1,"Journal of Economic Dynamics and Control","University of Zurich",0,1,0,"Published","Published",1.502,-0.31409634610537,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - R","Real",1,0,0,0,0,0,0,"MPL",0,0,1,0,0,0,0,NA,1,"Linear","Linear",0,0,0,0,0,1,0,0,"Zero",0,0,1,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"Germany",NA,"Mannheim","Europe",0,1,0,0,0,0,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
133,27,1,114,1.4,"Ind. mean",0,1,0,0,0.15,0.15,"SE reported",0,NA,"Sokol-Hessner et al. (2009)","Thinking Like a Trader Selectively Reduces individuals‰Ûª Loss Aversion","Sokol-Hessner; Hsu; Curley; Delgado; Camerer; Phelps","Peter; Ming; Nina G; Mauricio R; Colin F; Elizabeth A",2009,1,"PNAS","New York University; University of Illinois; Rutgers University; California Institute of Technology",0,1,0,"Published","Published",9.58,1.0343458272103,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - R","Real",1,0,0,0,0,0,0,"Seq. binary",0,1,0,0,0,0,0,NA,1,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Zero",0,0,1,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Multi-disciplinary","Multidisciplinary Sciences","Multidisciplinary",0,0,0,0,0,0,0,1
134,27,2,115,1.17,"Ind. mean",0,1,0,0,0.15,0.15,"SE reported",0,NA,"Sokol-Hessner et al. (2009)","Thinking Like a Trader Selectively Reduces individuals‰Ûª Loss Aversion","Sokol-Hessner; Hsu; Curley; Delgado; Camerer; Phelps","Peter; Ming; Nina G; Mauricio R; Colin F; Elizabeth A",2009,1,"PNAS","New York University; University of Illinois; Rutgers University; California Institute of Technology",0,1,0,"Published","Published",9.58,1.0343458272103,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - R","Real",1,0,0,0,0,0,0,"Seq. binary",0,1,0,0,0,0,0,NA,1,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Zero",0,0,1,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Multi-disciplinary","Multidisciplinary Sciences","Multidisciplinary",0,0,0,0,0,0,0,1
135,27,3,116,1.31,"Ind. mean",0,1,0,0,0.13,0.13,"SE reported",0,NA,"Sokol-Hessner et al. (2009)","Thinking Like a Trader Selectively Reduces individuals‰Ûª Loss Aversion","Sokol-Hessner; Hsu; Curley; Delgado; Camerer; Phelps","Peter; Ming; Nina G; Mauricio R; Colin F; Elizabeth A",2009,1,"PNAS","New York University; University of Illinois; Rutgers University; California Institute of Technology",0,1,0,"Published","Published",9.58,1.0343458272103,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - R","Real",1,0,0,0,0,0,0,"Seq. binary",0,1,0,0,0,0,0,NA,1,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Zero",0,0,1,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Multi-disciplinary","Multidisciplinary Sciences","Multidisciplinary",0,0,0,0,0,0,0,1
136,27,4,117,1.15,"Ind. mean",0,1,0,0,0.12,0.12,"SE reported",0,NA,"Sokol-Hessner et al. (2009)","Thinking Like a Trader Selectively Reduces individuals‰Ûª Loss Aversion","Sokol-Hessner; Hsu; Curley; Delgado; Camerer; Phelps","Peter; Ming; Nina G; Mauricio R; Colin F; Elizabeth A",2009,1,"PNAS","New York University; University of Illinois; Rutgers University; California Institute of Technology",0,1,0,"Published","Published",9.58,1.0343458272103,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - R","Real",1,0,0,0,0,0,0,"Seq. binary",0,1,0,0,0,0,0,NA,1,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Zero",0,0,1,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Multi-disciplinary","Multidisciplinary Sciences","Multidisciplinary",0,0,0,0,0,0,0,1
137,28,1,118,2.069,"Aggregate",1,0,0,0,0.691,0.691,"SE reported",0,NA,"Tovar (2009)","The Effects of Loss Aversion on Trade Policy: Theory and Evidence","Tovar","Patricia",2009,1,"Journal of International Economics","Brandeis University",0,1,0,"Published","Published",2.216,-0.194909949503812,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"NA",0,0,0,0,0,0,1,0,"Other","Non-money","Hypothetical",0,0,0,0,0,1,0,"Other",0,0,0,0,0,0,1,"Trade data",0,"Other parametric","Other parametric",1,0,0,0,0,0,1,0,"Expectation",0,1,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Economics","Economics","Economics & Business",1,0,0,0,0,0,0,0
138,29,1,119,1.66,"Aggregate",1,0,0,0,NA,0.0593,"SE imputed",0,NA,"Arkes et al. (2010)","A Cross-Cultural Study of Reference Point Adaptation: Evidence from China, Korea, and the US","Arkes; Hirshleifer; Jiang; Lim","Hal R.; David; Danling; Sonya S.",2010,1,"Organizational Behavior and Human Decision Processes","The Ohio State University; University of California, Irvine; Florida State University; DePaul University",0,1,0,"Published","Published",2.908,-0.0793959628815727,"Classroom experiment",0,0,1,0,0,0,"Class",0,0,0,1,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"Matching",0,0,0,1,0,0,0,NA,1,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Zero",0,0,1,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"China; South Korea",NA,"Nanjing; Seoul","Asia",0,0,0,1,0,0,0,"Business/Management","Management","Psychology, Social",0,0,0,0,0,1,0,0
139,29,2,120,1.86,"Aggregate",1,0,0,0,NA,0.64587,"SE imputed",0,NA,"Arkes et al. (2010)","A Cross-Cultural Study of Reference Point Adaptation: Evidence from China, Korea, and the US","Arkes; Hirshleifer; Jiang; Lim","Hal R.; David; Danling; Sonya S.",2010,1,"Organizational Behavior and Human Decision Processes","The Ohio State University; University of California, Irvine; Florida State University; DePaul University",0,1,0,"Published","Published",2.908,-0.0793959628815727,"Classroom experiment",0,0,1,0,0,0,"Class",0,0,0,1,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"Matching",0,0,0,1,0,0,0,NA,1,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Zero",0,0,1,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA","Florida",NA,"North America",0,0,0,0,0,1,0,"Business/Management","Management","Psychology, Social",0,0,0,0,0,1,0,0
140,30,1,121,1.576,"Aggregate",1,0,0,0,0.098,0.098,"SE reported",0,NA,"Booij et al. (2010)","A Parametric Analysis of Prospect Theory's Functionals for the General Population","Booij; van Praag; van de Kuilen","Adan S.; Bernard M. S.; Gijs",2010,1,"Theory and Decision","Amsterdam School of Economics; Tinbergen Institute; Tilburg University",0,1,0,"Published","Published",0.68,-0.451310937150862,"Online experiment",0,0,0,1,0,0,"Online",0,0,1,0,"General",0,0,0,1,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"Seq. binary",0,1,0,0,0,0,0,NA,1,"CRRA","CRRA (non eq)",1,1,0,1,0,0,0,0,"Zero",0,0,1,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"Netherlands",NA,NA,"Europe",0,1,0,0,0,0,0,"Economics","Economics","Social Sciences, Mathematical Methods",1,0,0,0,0,0,0,0
141,31,1,122,1.52,"Ind. mean",0,1,0,1,0.19,0.19,"SE reported",0,NA,"De Martino et al. (2010)","Amygdala Damage Eliminates Monetary Loss Aversion","De Martino; Camerer; Adolphs","Benedetto; Colin F; Ralph",2010,1,"PNAS","California Institute of Technology; University College London",0,1,0,"Published","Published",9.58,1.0343458272103,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"General",0,0,0,1,0,0,0,0,"Money","Money - R","Real",1,0,0,0,0,0,0,"Seq. binary",0,1,0,0,0,0,0,NA,1,"NA","NA",0,0,0,0,0,0,0,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA","CA","Los Angeles","North America",0,0,0,0,0,1,0,"Multi-disciplinary","Multidisciplinary Sciences","Multidisciplinary",0,0,0,0,0,0,0,1
142,31,2,122,1.39,"Ind. median",0,0,1,1,0.19,0.19,"SE reported",0,NA,"De Martino et al. (2010)","Amygdala Damage Eliminates Monetary Loss Aversion","De Martino; Camerer; Adolphs","Benedetto; Colin F; Ralph",2010,1,"PNAS","California Institute of Technology; University College London",0,1,0,"Published","Published",9.58,1.0343458272103,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"General",0,0,0,1,0,0,0,0,"Money","Money - R","Real",1,0,0,0,0,0,0,"Seq. binary",0,1,0,0,0,0,0,NA,1,"NA","NA",0,0,0,0,0,0,0,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA","CA","Los Angeles","North America",0,0,0,0,0,1,0,"Multi-disciplinary","Multidisciplinary Sciences","Multidisciplinary",0,0,0,0,0,0,0,1
143,31,3,123,1.76,"Ind. mean",0,1,0,1,0.12,0.12,"SE reported",0,NA,"De Martino et al. (2010)","Amygdala Damage Eliminates Monetary Loss Aversion","De Martino; Camerer; Adolphs","Benedetto; Colin F; Ralph",2010,1,"PNAS","California Institute of Technology; University College London",0,1,0,"Published","Published",9.58,1.0343458272103,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"General",0,0,0,1,0,0,0,0,"Money","Money - R","Real",1,0,0,0,0,0,0,"Seq. binary",0,1,0,0,0,0,0,NA,1,"NA","NA",0,0,0,0,0,0,0,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA","CA","Los Angeles","North America",0,0,0,0,0,1,0,"Multi-disciplinary","Multidisciplinary Sciences","Multidisciplinary",0,0,0,0,0,0,0,1
144,31,4,123,1.8,"Ind. median",0,0,1,1,0.12,0.12,"SE reported",0,NA,"De Martino et al. (2010)","Amygdala Damage Eliminates Monetary Loss Aversion","De Martino; Camerer; Adolphs","Benedetto; Colin F; Ralph",2010,1,"PNAS","California Institute of Technology; University College London",0,1,0,"Published","Published",9.58,1.0343458272103,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"General",0,0,0,1,0,0,0,0,"Money","Money - R","Real",1,0,0,0,0,0,0,"Seq. binary",0,1,0,0,0,0,0,NA,1,"NA","NA",0,0,0,0,0,0,0,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA","CA","Los Angeles","North America",0,0,0,0,0,1,0,"Multi-disciplinary","Multidisciplinary Sciences","Multidisciplinary",0,0,0,0,0,0,0,1
145,32,1,124,5.61,"Ind. mean",0,1,0,1,8.22,8.22,"SE reported",0,NA,"Dimmock and Kouwenberg (2010)","Loss-Aversion and Household Portfolio Choice","Dimmock; Kouwenberg","Stephen G.; Roy",2010,1,"Journal of Empirical Finance","Michigan State University; Mahidol University; Erasmus University Rotterdam",0,1,0,"Published","Published",1.244,-0.357163699499211,"Online experiment",0,0,0,1,0,0,"Online",0,0,1,0,"General",0,0,0,1,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"Other",0,0,0,0,0,0,1,NA,1,"NA","NA",0,0,0,0,0,0,0,0,"Other",0,0,0,1,"Tversky-Kahneman",1,0,0,0,0,0,0,"Netherlands",NA,NA,"Europe",0,1,0,0,0,0,0,"Economics","Economics","Business, Finance",1,0,0,0,0,0,0,0
146,32,2,124,2.47,"Ind. median",0,0,1,1,8.22,8.22,"SE reported",0,NA,"Dimmock and Kouwenberg (2010)","Loss-Aversion and Household Portfolio Choice","Dimmock; Kouwenberg","Stephen G.; Roy",2010,1,"Journal of Empirical Finance","Michigan State University; Mahidol University; Erasmus University Rotterdam",0,1,0,"Published","Published",1.244,-0.357163699499211,"Online experiment",0,0,0,1,0,0,"Online",0,0,1,0,"General",0,0,0,1,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"Other",0,0,0,0,0,0,1,NA,1,"NA","NA",0,0,0,0,0,0,0,0,"Other",0,0,0,1,"Tversky-Kahneman",1,0,0,0,0,0,0,"Netherlands",NA,NA,"Europe",0,1,0,0,0,0,0,"Economics","Economics","Business, Finance",1,0,0,0,0,0,0,0
147,32,3,125,3.5,"Ind. mean",0,1,0,1,6.5,6.5,"SE reported",0,NA,"Dimmock and Kouwenberg (2010)","Loss-Aversion and Household Portfolio Choice","Dimmock; Kouwenberg","Stephen G.; Roy",2010,1,"Journal of Empirical Finance","Michigan State University; Mahidol University; Erasmus University Rotterdam",0,1,0,"Published","Published",1.244,-0.357163699499211,"Online experiment",0,0,0,1,0,0,"Online",0,0,1,0,"General",0,0,0,1,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"Other",0,0,0,0,0,0,1,NA,1,"NA","NA",0,0,0,0,0,0,0,0,"Other",0,0,0,1,"Tversky-Kahneman",1,0,0,0,0,0,0,"Netherlands",NA,NA,"Europe",0,1,0,0,0,0,0,"Economics","Economics","Business, Finance",1,0,0,0,0,0,0,0
148,32,4,125,1.68,"Ind. median",0,0,1,1,6.5,6.5,"SE reported",0,NA,"Dimmock and Kouwenberg (2010)","Loss-Aversion and Household Portfolio Choice","Dimmock; Kouwenberg","Stephen G.; Roy",2010,1,"Journal of Empirical Finance","Michigan State University; Mahidol University; Erasmus University Rotterdam",0,1,0,"Published","Published",1.244,-0.357163699499211,"Online experiment",0,0,0,1,0,0,"Online",0,0,1,0,"General",0,0,0,1,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"Other",0,0,0,0,0,0,1,NA,1,"NA","NA",0,0,0,0,0,0,0,0,"Other",0,0,0,1,"Tversky-Kahneman",1,0,0,0,0,0,0,"Netherlands",NA,NA,"Europe",0,1,0,0,0,0,0,"Economics","Economics","Business, Finance",1,0,0,0,0,0,0,0
149,32,5,126,4.96,"Ind. mean",0,1,0,1,6.57,6.57,"SE reported",0,NA,"Dimmock and Kouwenberg (2010)","Loss-Aversion and Household Portfolio Choice","Dimmock; Kouwenberg","Stephen G.; Roy",2010,1,"Journal of Empirical Finance","Michigan State University; Mahidol University; Erasmus University Rotterdam",0,1,0,"Published","Published",1.244,-0.357163699499211,"Online experiment",0,0,0,1,0,0,"Online",0,0,1,0,"General",0,0,0,1,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"Other",0,0,0,0,0,0,1,NA,1,"NA","NA",0,0,0,0,0,0,0,0,"Other",0,0,0,1,"Tversky-Kahneman",1,0,0,0,0,0,0,"Netherlands",NA,NA,"Europe",0,1,0,0,0,0,0,"Economics","Economics","Business, Finance",1,0,0,0,0,0,0,0
